rankingNum,universidadName,presenciaPosicion,impactoPosicion,aperturaPosicion,excelenciaPosicion
578,Universiti Putra Malaysia,214,1223,528,528
580,Tampere University (TUT+UoT) / Tampereen korkeakouluyhteisö,469,1482,396,396
581,San Francisco State University,1391,230,1152,1152
582,Universidad de los Andes Colombia,510,535,840,840
582,Université de Lille,981,1252,413,413
584,University of South Carolina,642,134,320,320
585,Technische Universität Dortmund,960,889,534,534
585,Budapest University of Technology and Economics / Budapesti Műszaki és Gazdaságtudományi Egyetem BME,343,562,846,846
587,University of Stirling,1569,577,804,804
588,Università degli Studi di Verona,559,1213,522,522
589,Adam Mickiewicz University Poznan / Uniwersytet Adama Mickiewicza w Poznaniu,505,571,807,807
590,University of Zagreb,168,766,513,513
590,Murdoch University,1884,663,739,739
592,University of Texas El Paso,1391,458,917,917
593,University of Toledo,1947,545,849,849
594,Dublin City University,1661,496,872,872
595,Università degli Studi di Trieste,676,1228,493,493
595,Università degli Studi di Cagliari,551,1146,558,558
597,Indian Institute of Technology Madras,1221,952,599,599
598,Miami University of Ohio,819,361,1086,1086
599,University of North Carolina at Greensboro,869,432,1038,1038
600,University of Limerick,1414,673,782,782
600,Université du Luxembourg,41,966,676,676
600,University of Waikato,1244,445,987,987
603,North Dakota State University,1060,502,908,908
604,Istanbul Technical University / İstanbul Teknik Üniversitesi,521,992,613,613
